2021-10-23;18:47:53;FBTP0621.NaE-last data 1921
2021-10-23;18:47:54;FBTP0621.NaE-last data 1922
2021-10-23;18:47:54;FBTP0621.NaE-last data 1923
2021-10-23;18:47:55;FBTP0621.NaE-last data 1924
2021-10-23;18:47:55;FBTP0621.NaE-last data 1925
2021-10-23;18:47:56;FBTP0621.NaE-last data 1926
2021-10-23;18:47:56;FBTP0621.NaE-last data 1927
2021-10-23;18:47:57;FBTP0621.NaE-last data 1928
2021-10-23;18:47:57;FBTP0621.NaE-last data 1929
2021-10-23;18:47:58;FBTP0621.NaE-last data 1930
2021-10-23;18:47:58;FBTP0621.NaE-last data 1931
2021-10-23;18:47:59;FBTP0621.NaE-last data 1932
2021-10-23;18:47:59;FBTP0621.NaE-last data 1933
2021-10-23;18:48:00;FBTP0621.NaE-last data 1934
2021-10-23;18:48:00;FBTP0621.NaE-last data 1935
2021-10-23;18:48:01;FBTP0621.NaE-last data 1936
2021-10-23;18:48:01;FBTP0621.NaE-last data 1937
2021-10-23;18:48:02;FBTP0621.NaE-last data 1938
2021-10-23;18:48:02;FBTP0621.NaE-last data 1939
2021-10-23;18:48:03;FBTP0621.NaE-last data 1940
2021-10-23;18:48:03;FBTP0621.NaE-last data 1941
2021-10-23;18:48:04;FBTP0621.NaE-last data 1942
2021-10-23;18:48:04;FBTP0621.NaE-last data 1943
2021-10-23;18:48:05;FBTP0621.NaE-last data 1944
2021-10-23;18:48:05;FBTP0621.NaE-last data 1945
2021-10-23;18:48:06;FBTP0621.NaE-last data 1946
2021-10-23;18:48:06;FBTP0621.NaE-last data 1947
2021-10-23;18:48:07;FBTP0621.NaE-last data 1948
2021-10-23;18:48:07;FBTP0621.NaE-last data 1949
2021-10-23;18:48:08;FBTP0621.NaE-last data 1950
2021-10-23;18:48:08;FBTP0621.NaE-last data 1951
2021-10-23;18:48:09;FBTP0621.NaE-last data 1952
2021-10-23;18:48:10;FBTP0621.NaE-last data 1953
2021-10-23;18:48:10;FBTP0621.NaE-last data 1954
2021-10-23;18:48:11;FBTP0621.NaE-last data 1955
2021-10-23;18:48:11;FBTP0621.NaE-last data 1956
2021-10-23;18:48:12;FBTP0621.NaE-last data 1957
2021-10-23;18:48:12;FBTP0621.NaE-last data 1958
2021-10-23;18:48:13;FBTP0621.NaE-last data 1959
2021-10-23;18:48:13;FBTP0621.NaE-last data 1960
2021-10-23;18:48:14;FBTP0621.NaE-last data 1961
2021-10-23;18:48:14;FBTP0621.NaE-last data 1962
2021-10-23;18:48:15;FBTP0621.NaE-last data 1963
2021-10-23;18:48:15;FBTP0621.NaE-last data 1964
2021-10-23;18:48:16;FBTP0621.NaE-last data 1965
2021-10-23;18:48:16;FBTP0621.NaE-last data 1966
2021-10-23;18:48:17;FBTP0621.NaE-last data 1967
2021-10-23;18:48:17;FBTP0621.NaE-last data 1968
2021-10-23;18:48:18;FBTP0621.NaE-last data 1969
2021-10-23;18:48:18;FBTP0621.NaE-last data 1970
2021-10-23;18:48:19;FBTP0621.NaE-last data 1971
2021-10-23;18:48:19;FBTP0621.NaE-last data 1972
2021-10-23;18:48:20;FBTP0621.NaE-last data 1973
2021-10-23;18:48:20;FBTP0621.NaE-last data 1974
2021-10-23;18:48:21;FBTP0621.NaE-last data 1975
2021-10-23;18:48:21;FBTP0621.NaE-last data 1976
2021-10-23;18:48:22;FBTP0621.NaE-last data 1977
2021-10-23;18:48:22;FBTP0621.NaE-last data 1978
2021-10-23;18:48:23;FBTP0621.NaE-last data 1979
2021-10-23;18:48:23;FBTP0621.NaE-last data 1980
2021-10-23;18:48:24;FBTP0621.NaE-last data 1981
2021-10-23;18:48:24;FBTP0621.NaE-last data 1982
2021-10-23;18:48:25;FBTP0621.NaE-last data 1983
2021-10-23;18:48:25;FBTP0621.NaE-last data 1984
2021-10-23;18:48:26;FBTP0621.NaE-last data 1985
2021-10-23;18:48:26;FBTP0621.NaE-last data 1986
2021-10-23;18:48:27;FBTP0621.NaE-last data 1987
2021-10-23;18:48:27;FBTP0621.NaE-last data 1988
2021-10-23;18:48:28;FBTP0621.NaE-last data 1989
2021-10-23;18:48:28;FBTP0621.NaE-last data 1990
2021-10-23;18:48:29;FBTP0621.NaE-last data 1991
2021-10-23;18:48:29;FBTP0621.NaE-last data 1992
2021-10-23;18:48:30;FBTP0621.NaE-last data 1993
2021-10-23;18:48:30;FBTP0621.NaE-last data 1994
2021-10-23;18:48:31;FBTP0621.NaE-last data 1995
2021-10-23;18:48:31;FBTP0621.NaE-last data 1996
2021-10-23;18:48:32;FBTP0621.NaE-last data 1997
2021-10-23;18:48:32;FBTP0621.NaE-last data 1998
2021-10-23;18:48:33;FBTP0621.NaE-last data 1999
2021-10-23;18:48:33;FBTP0621.NaE-last data 2000
2021-10-23;18:48:34;FBTP0621.NaE-last data 2001
2021-10-23;18:48:34;FBTP0621.NaE-last data 2002
2021-10-23;18:48:35;FBTP0621.NaE-last data 2003
2021-10-23;18:48:35;FBTP0621.NaE-last data 2004
2021-10-23;18:48:36;FBTP0621.NaE-last data 2005
2021-10-23;18:48:37;FBTP0621.NaE-last data 2006
2021-10-23;18:48:37;FBTP0621.NaE-last data 2007
2021-10-23;18:48:38;FBTP0621.NaE-last data 2008
2021-10-23;18:48:38;FBTP0621.NaE-last data 2009
2021-10-23;18:48:39;FBTP0621.NaE-last data 2010
2021-10-23;18:48:39;FBTP0621.NaE-last data 2011
2021-10-23;18:48:40;FBTP0621.NaE-last data 2012
2021-10-23;18:48:40;FBTP0621.NaE-last data 2013
